customer_id,name,state,age,is_married,customer_health_index
C100,joshua hernandez,south dakota,42,0,0.65167689535988
C101,mr. adam williams,indiana,20,0,0.06398590566957574
C102,eric byrd,missouri,50,1,0.6835735729381778
C103,jessica allen,nevada,63,1,0.734948869206215
C104,ryan munoz,arkansas,52,0,0.6059005421225973
C105,nicole harper,minnesota,73,0,0.5127027931599186
C106,brandon johnson,arizona,71,1,0.21442928045604315
C107,brandon chen,west virginia,18,0,0.5702350118139243
C108,tina hill,washington,31,1,0.6203439864115855
C109,julie richardson,wisconsin,26,0,0.5768500688236887
C110,katherine stone,mississippi,83,1,0.7950173366061729
C111,dr. melody diaz,idaho,63,1,0.496958268664202
C112,robert camacho,massachusetts,29,0,0.7826881819689108
C113,kenneth moore,north dakota,28,0,0.07416918083765067
C114,james waller,delaware,73,0,0.7328703797921625
C115,ashley maxwell,texas,19,1,0.8242935948786921
C116,herbert glass,south dakota,86,0,0.8156222769153055
C117,virginia wood dvm,new hampshire,66,0,0.4339538886952429
C118,tonya anderson,wisconsin,27,0,0.6455597484896402
C119,john mercado,illinois,87,1,0.13952253535526316
C120,karen douglas,mississippi,69,1,0.18201216402738862
C121,patrick tate,alaska,21,1,0.6960043899315751
C122,david barber,south carolina,59,0,0.02193618927237584
C123,rachel reynolds,ohio,51,1,0.10260532751771645
C124,stacy smith,hawaii,78,1,0.8378931818868011
C125,andrew martin,illinois,22,0,0.09424536555451435
C126,michael adams,indiana,89,1,0.8761980302774449
C127,christine hebert,oklahoma,60,1,0.5909202611473997
C128,julia wright,kentucky,71,1,0.4006090722107527
C129,christopher ramirez,kentucky,62,1,0.16790929858452663
C130,sharon scott,mississippi,21,0,0.564760823045003
C131,christina johnson,oregon,38,0,0.626394087914849
C132,laura kelly,hawaii,71,1,0.34898037289466677
C133,melinda kelly,missouri,26,0,0.11336882024759554
C134,jerry long,vermont,36,1,0.07797162336027574
C135,heather carr,ohio,65,0,0.34607196272170127
C136,victoria thompson,south dakota,48,1,0.8836853195756093
C137,jennifer lane,south carolina,28,1,0.6881247475757152
C138,william howell,new jersey,25,1,0.830765624022574
C139,allen harris,alaska,84,0,0.9619446161064573
C140,nancy vincent,missouri,67,1,0.22342961564184172
C141,david hernandez,wisconsin,86,0,0.7586425836076791
C142,stacey velazquez,washington,57,1,0.9171712479108454
C143,joseph flowers,indiana,36,1,0.13361499359891604
C144,emily dunn,pennsylvania,55,0,0.04902299567995139
C145,christine durham,michigan,67,1,0.21102389468582416
C146,judith long,indiana,65,1,0.08045338677742553
C147,jo edwards,rhode island,34,0,0.7686710349283012
C148,mark miller,kentucky,86,0,0.8597144758660759
C149,anthony fisher,georgia,61,0,0.33858372095597866
C150,marilyn rodgers,wisconsin,84,0,0.1321443144955995
C151,suzanne stone,south carolina,33,1,0.6799620328526017
C152,alison green,missouri,39,1,0.668168094979739
C153,michael perez,connecticut,67,0,0.38614852781221654
C154,tina graham,tennessee,73,0,0.5034928588813504
C155,angela bowen,new mexico,25,0,0.6503507573992997
C156,cindy villegas,california,35,0,0.5660932952312712
C157,nicole hickman,pennsylvania,76,0,0.22434666992832486
C158,david williams,rhode island,20,1,0.24828292126020735
C159,anita farmer,washington,62,1,0.5336510861086468
C160,angelica shields,kansas,75,0,0.8500373054233608
C161,susan duran,ohio,75,1,0.7481335232548975
C162,dylan cherry,california,56,0,0.7569108998584372
C163,michael heath,virginia,72,1,0.48182671786853126
C164,jeffery reynolds,nevada,21,1,0.76491995189823
C165,kenneth lopez,massachusetts,38,0,0.9222139009584283
C166,sheri ray,oregon,84,1,0.028151739794715858
C167,wayne sharp,florida,59,1,0.5992396073688752
C168,denise hill,hawaii,84,1,0.8966756829086561
C169,victoria alvarado,west virginia,83,1,0.4361923663033104
C170,paula glover,georgia,89,1,0.5041171118494118
C171,thomas casey,washington,35,0,0.5093018951540473
C172,jordan baldwin,idaho,61,0,0.6323473602975114
C173,ryan holmes,hawaii,82,0,0.8451063318906205
C174,david sanders,south carolina,31,1,0.025408861587773002
C175,rebecca bush,south dakota,87,0,0.39430507563275785
C176,shelby sullivan,maine,65,1,0.6787773810635973
C177,lynn wells,new york,46,1,0.1707030401112105
C178,brandon hicks,ohio,90,0,0.5401608543667468
C179,cody smith,maine,61,1,0.820790366783831
C180,michael brown,north dakota,29,0,0.8341364962496955
C181,steven evans,north carolina,52,0,0.45407584126300515
C182,jordan johnson,kansas,82,1,0.7124728318676808
C183,sean wright,illinois,49,1,0.3315429162453706
C184,denise lopez,maine,44,0,0.012219395556652635
C185,robert hamilton,pennsylvania,59,0,0.46819501659441043
C186,laura jones,nevada,51,0,0.650342863366511
C187,gary li,wisconsin,68,1,0.7541485164764667
C188,rachel nunez,new mexico,23,0,0.8311115689084724
C189,donna smith,connecticut,82,1,0.5924736724519764
C190,laurie evans,arizona,28,1,0.773514462533891
C191,heather davis,michigan,43,1,0.730922070997749
C192,stanley lee,alaska,82,0,0.46338356456048635
C193,william swanson,hawaii,43,1,0.691954529106106
C194,audrey perez,new mexico,20,1,0.5086215408428418
C195,john davis,georgia,42,0,0.35773246862432806
C196,tracy kaiser,nevada,52,1,0.37359065318895923
C197,savannah norris,hawaii,90,1,0.22529193719029306
C198,christine mcgee,north dakota,47,1,0.2858617223172647
C199,julia white,oklahoma,28,1,0.7712940801811657
C200,sarah randall,massachusetts,58,0,0.7272446829025496
C201,robin brown,michigan,28,1,0.0494346992315422
C202,shannon ward,wisconsin,61,0,0.26628202982818605
C203,brian brown,minnesota,88,1,0.2705505287224208
C204,daniel abbott,hawaii,86,1,0.671061400029928
C205,yvette collins,iowa,35,1,0.8112673945227641
C206,roger williams,idaho,86,1,0.9195397946096022
C207,william thomas,montana,35,0,0.5429056841054455
C208,michael taylor,louisiana,79,0,0.7812857257034198
C209,renee taylor,oregon,81,0,0.8278586764827535
C210,larry williams,massachusetts,68,0,0.012070000195086639
C211,catherine larson,wisconsin,21,1,0.8559658443790549
C212,erik brown,rhode island,50,1,0.9093148597766971
C213,ms. jamie watts,alaska,91,0,0.2481148740465552
C214,judith carr,connecticut,80,0,0.929424817781743
C215,debra johnson,louisiana,61,0,0.0795275311797271
C216,christina mills,maine,68,0,0.6362878669995484
C217,shane owens,georgia,46,1,0.17582709307697908
C218,brian campbell,minnesota,82,1,0.2665903723496196
C219,jesse henderson,north dakota,34,1,0.9418563062736869
C220,jeffery jackson,north dakota,18,1,0.7548084094666709
C221,kathy parker,vermont,81,0,0.32148385615758457
C222,ashley woods,minnesota,61,1,0.15514053599472555
C223,toni armstrong,arkansas,33,0,0.5266954160446632
C224,john gonzales,louisiana,24,1,0.42751852224654363
C225,john campbell,virginia,64,1,0.6023152664727408
C226,misty humphrey,west virginia,76,1,0.9112160411266476
C227,nicholas benton,massachusetts,64,1,0.8037324622099413
C228,linda henson,ohio,71,0,0.6354948504203206
C229,thomas flores,iowa,58,0,0.875612689447539
C230,joe wilson,texas,63,0,0.6706270818315664
C231,kathleen meyers,california,45,0,0.63832271939667
C232,stephanie schaefer,ohio,75,1,0.5584074885314213
C233,michael richardson,north carolina,61,0,0.476170717572887
C234,michael garcia,west virginia,42,0,0.7126612270458874
C235,dr. tracy ramos,rhode island,41,0,0.5673810525153925
C236,jessica hudson,kentucky,66,1,0.020129594827715924
C237,anthony schroeder,wyoming,25,0,0.9785097062832349
C238,tammy wilson,colorado,71,1,0.5948136360477467
C239,erika cole,mississippi,66,0,0.5681563720939962
C240,stephen jenkins,west virginia,82,0,0.12278996761038308
C241,joshua thomas,new hampshire,51,1,0.8993895071297335
C242,alyssa padilla,iowa,40,0,0.6354172787076019
C243,jennifer duncan,texas,89,0,0.15010189287497466
C244,jessica sweeney,illinois,66,1,0.3184190318917214
C245,james wilson,south dakota,65,1,0.5702101537121774
C246,lauren brooks,arizona,26,0,0.35116700833988457
C247,patricia greene,indiana,55,0,0.5686326505119295
C248,christopher smith,delaware,33,1,0.18462125815133912
C249,wesley burnett,iowa,51,1,0.48465988140776084
C250,benjamin baldwin,west virginia,82,1,0.21742232959619678
C251,austin arnold,missouri,59,0,0.0992701592085462
C252,steven perez,georgia,25,1,0.5540540711983464
C253,donald richard,west virginia,66,1,0.1918851071958355
C254,michael lopez,south carolina,24,1,0.45530567454163795
C255,deborah hall,missouri,67,0,0.5620187479926346
C256,kaitlyn hayes,new mexico,56,1,0.2515621846405268
C257,lawrence nelson,iowa,31,1,0.7186571269480955
C258,melissa singh,maryland,77,1,0.6930879916779443
C259,felicia chavez,oregon,91,0,0.7779181701815329
C260,brett johnston,iowa,59,1,0.1406298166028087
C261,kelly hanson,vermont,49,0,0.8579507469078866
C262,jeffrey kelley,wisconsin,75,0,0.9425286649566428
C263,jasmine gibson,wisconsin,52,0,0.08674077631041754
C264,elaine perry,new york,74,1,0.690444461270536
C265,valerie soto,nebraska,90,1,0.8403537029049679
C266,leslie cole,california,91,1,0.288021150063293
C267,stephanie nelson,delaware,62,1,0.37731698343616427
C268,donald horn,michigan,49,1,0.19568673609873655
C269,mark ellison,rhode island,76,0,0.3557859458700847
C270,margaret shelton,ohio,82,0,0.8236532171797065
C271,ronald martinez,delaware,91,0,0.26977675422680514
C272,renee williams,colorado,53,1,0.9955042451720819
C273,steven taylor,washington,61,0,0.4908697516802425
C274,lori edwards,tennessee,24,1,0.5634408305416319
C275,jacob alvarez,delaware,41,0,0.6273229394497801
C276,dr. michelle cook,south carolina,33,1,0.9516220389728912
C277,crystal flores,wisconsin,20,0,0.34625735585275075
C278,hannah key,georgia,72,1,0.3947045623130385
C279,stacey galloway,north dakota,81,1,0.4492538832486568
C280,marc young,maryland,34,0,0.8954047089613455
C281,tracy barker,hawaii,79,1,0.07294510440903168
C282,peter cordova,oklahoma,86,0,0.5351578576816199
C283,deborah hester,new mexico,23,1,0.21852281603873946
C284,eric dickerson,nebraska,78,1,0.7194862284541427
C285,krista orr,massachusetts,87,0,0.13814150430043348
C286,matthew miller,washington,36,1,0.07324742067949197
C287,george richardson,connecticut,59,0,0.9658915069822983
C288,carrie jones,missouri,65,1,0.844179249355721
C289,carol thompson,michigan,46,1,0.05721936431276986
C290,christina obrien,new hampshire,22,1,0.4196981417345981
C291,kayla wood,nebraska,77,0,0.043214735901271006
C292,joe jones,kentucky,82,1,0.434389467937379
C293,daniel chandler,new mexico,54,0,0.9424897254935773
C294,joseph oconnor,georgia,19,1,0.5090965973155487
C295,katie vazquez,vermont,59,1,0.32908251688451906
C296,janice martin,oklahoma,67,1,0.3753690603808657
C297,allison watson,ohio,47,1,0.06419380191236723
C298,jessica williams,florida,26,0,0.3865137406348923
C299,timothy sullivan,montana,50,0,0.7990022902600283
C300,joseph johns,wisconsin,54,0,0.6665889255540649
C301,lisa graham,north dakota,39,0,0.11365263608568277
C302,jose dixon,florida,71,1,0.47472854721019286
C303,mark hunt,mississippi,63,1,0.6652423613059463
C304,cindy johnson,new jersey,72,1,0.13252341250118516
C305,gwendolyn lewis,alabama,23,0,0.8577038973597265
C306,shelby kidd,colorado,19,1,0.1331481917133307
C307,colleen williams,ohio,81,0,0.2825990982923161
C308,john sanchez md,idaho,39,0,0.5418320780889851
C309,brooke brown,arkansas,43,1,0.1880232595210598
C310,miss ariel chan,hawaii,23,1,0.726257306896596
C311,ashley yang,michigan,52,0,0.40956218221313734
C312,michelle brown,arizona,85,0,0.8184661012993888
C313,shawna fernandez,oklahoma,39,0,0.7410439519380493
C314,tammy palmer,indiana,85,1,0.6857592928420009
C315,patricia atkins,maryland,42,1,0.4835734237310545
C316,daniel carroll,new york,56,1,0.10243270516485903
C317,russell kaiser,hawaii,81,0,0.6837023787359109
C318,joseph carroll,pennsylvania,77,1,0.005365579390300912
C319,grant robinson,mississippi,46,1,0.001400826988180226
C320,stephen garcia,minnesota,54,0,0.6418548295008308
C321,william dunn,new york,85,0,0.6198294072935523
C322,darrell garcia,virginia,29,0,0.4159067871915948
C323,edward henry,maryland,31,0,0.3890668092003329
C324,lindsey page,nevada,74,1,0.694133768528108
C325,wendy gomez,maryland,87,1,0.9027957387700404
C326,john green,utah,89,0,0.9161709814785806
C327,gary dominguez,hawaii,53,1,0.8780449866052267
C328,kayla lynch,missouri,42,1,0.5792178365222082
C329,steven walker,montana,84,0,0.3397886541801848
C330,jeffrey hunter,south carolina,26,0,0.1598642928890941
C331,rhonda brown,california,68,1,0.9147773173460833
C332,andrea fox,maryland,70,0,0.8177965520852837
C333,steven osborn,connecticut,75,1,0.6942564083816434
C334,david cordova,kentucky,32,0,0.8794545079734857
C335,tiffany murphy,west virginia,25,0,0.6807708451368252
C336,amy hansen,massachusetts,90,0,0.7928181450598962
C337,matthew ross,new jersey,73,0,0.23953784152699364
C338,katherine arroyo,maine,73,0,0.44492518240474477
C339,amber powell,oregon,84,1,0.1146531948542927
C340,meghan hernandez,illinois,63,1,0.5241266819352594
C341,trevor gallegos,idaho,37,0,0.5455775929987334
C342,james wallace,montana,81,1,0.9161041797433135
C343,mark mills,tennessee,35,0,0.16547707805270362
C344,maurice smith,arkansas,42,1,0.86911505003589
C345,jordan mckee,idaho,45,0,0.05235838648903279
C346,tracey lara,indiana,48,1,0.9544146032626384
C347,travis clay,oregon,22,0,0.6119860653149475
C348,tonya martinez,south carolina,49,0,0.965394356750172
C349,marc carroll,texas,44,1,0.2239924709273614
C350,daniel johnson,michigan,27,1,0.8269878218783655
C351,valerie santana,new jersey,69,1,0.1382143554045534
C352,michelle jackson,hawaii,21,0,0.6839093080658144
C353,jon mcdaniel,vermont,19,0,0.6704222716889983
C354,robert mccarty,new jersey,70,1,0.7330658036135792
C355,rachel williams,new mexico,59,0,0.13569352284201408
C356,christopher escobar,michigan,88,0,0.9545941570243515
C357,dennis butler,arizona,21,0,0.4815751687538229
C358,george cervantes,alabama,23,0,0.8705627653183693
C359,danielle kirby,maryland,49,0,0.32383270706186484
C360,gregory burns,maryland,73,0,0.04847467653820481
C361,ashley powell,delaware,55,0,0.6621921044913933
C362,stephanie greene,new jersey,41,0,0.31222079255181523
C363,alyssa white,vermont,56,1,0.9448387020712767
C364,amber davis,illinois,32,1,0.8759282343304967
C365,jeremiah lopez,new mexico,54,0,0.31036185374893943
C366,heather williamson,minnesota,59,1,0.9923319549346521
C367,ernest bernard,delaware,45,0,0.21817865122033664
C368,victoria taylor,wisconsin,83,1,0.30065017778585834
C369,brian brewer,georgia,21,1,0.6367873382756449
C370,gina rocha,south dakota,64,0,0.8463604630778027
C371,alison hall,nebraska,37,1,0.9974254437660177
C372,shannon jones,mississippi,77,0,0.34221577694603256
C373,kevin conley,new mexico,46,0,0.5320772504772874
C374,rhonda goodwin,iowa,71,0,0.518314821695643
C375,juan rodriguez,south carolina,46,1,0.6955369142303808
C376,eric walters,kansas,83,0,0.7915141492622044
C377,james velasquez,west virginia,73,0,0.5104602373788485
C378,christina castillo dvm,mississippi,68,1,0.15889201676435571
C379,brandon harding,texas,89,0,0.533229312760844
C380,jacqueline bennett,new mexico,42,1,0.9242786196413919
C381,amy rivera,arkansas,67,1,0.6190881469113882
C382,william byrd,missouri,27,0,0.49374044568869035
C383,christopher richardson,indiana,81,1,0.3309744924669066
C384,katelyn rodriguez,wyoming,23,1,0.28972950922970375
C385,robert morgan,nebraska,54,0,0.7077852240123617
C386,jessica anderson,rhode island,35,1,0.9758639982699951
C387,julie hernandez,alabama,78,1,0.34556673997548437
C388,diana clayton dvm,new york,31,1,0.5898586671127343
C389,roger smith,texas,34,0,0.9471551508867191
C390,alicia carpenter,montana,33,0,0.39658349291844275
C391,kevin brown,south carolina,76,1,0.9990517337552646
C392,katherine taylor,new hampshire,63,1,0.4518983157016221
C393,mason faulkner,kentucky,88,0,0.3831334795822383
C394,mrs. stephanie shields,delaware,20,1,0.3022448051869696
C395,mark weaver,connecticut,74,0,0.605611078330952
C396,john brown,idaho,84,1,0.08861718177599986
C397,kimberly gonzalez,montana,63,0,0.8107432497565181
C398,frank brooks,arkansas,54,0,0.6645313456905357
C399,lindsay howard,georgia,64,0,0.9959864615919666
C400,vanessa brown,utah,45,1,0.8275678159857186
C401,thomas martin,new mexico,67,0,0.4825686854252099
C402,christopher gonzalez,louisiana,24,1,0.818740382693441
C403,marcus jacobson,connecticut,31,0,0.1060276263558404
C404,peter moore,new hampshire,83,0,0.4166311382330532
C405,maria johnson,oregon,30,0,0.428969213770637
C406,andrew webb,rhode island,59,0,0.6490339663022523
C407,tyler williams,new hampshire,28,1,0.0039217565943617805
C408,tara santiago,nebraska,44,1,0.4687557486684787
C409,olivia miller md,iowa,67,0,0.8260384194834
C410,michael hughes,iowa,41,1,0.08273054480924713
C411,amanda payne,nebraska,71,0,0.6530740208032475
C412,jamie hunter,new mexico,34,0,0.6503698554358235
C413,isaac evans,connecticut,78,1,0.49663909483978874
C414,ashley hanna,tennessee,35,0,0.07413108223516618
C415,ralph hinton,illinois,18,0,0.629942104000292
C416,molly torres,idaho,38,0,0.07481850661745104
C417,darin jones,connecticut,29,0,0.13352055274467733
C418,michael taylor,mississippi,60,1,0.19932485820615076
C419,ryan collins,oregon,22,1,0.6994237958105339
C420,sherry ramirez,north carolina,30,0,0.36362458989496127
C421,ethan roth,alabama,36,1,0.735845837026905
C422,steve grimes,utah,46,1,0.7509277872883992
C423,carl perez,nebraska,76,1,0.35382549638305194
C424,robin aguilar,kentucky,73,1,0.7245132382057021
C425,ann wilson,washington,43,1,0.3169157778763183
C426,ms. amy saunders,california,69,0,0.13855260298496042
C427,michelle baker,arkansas,25,0,0.4005244857035857
C428,morgan evans,kentucky,25,0,0.2606047133525824
C429,morgan johnson,connecticut,37,1,0.42732943441109994
C430,roger martinez,connecticut,32,1,0.8210901068732033
C431,howard keller,iowa,77,1,0.5111255020433118
C432,matthew jensen,new york,29,1,0.9988042010088362
C433,erin woods,wisconsin,35,0,0.3486231663168966
C434,edwin scott,wyoming,23,1,0.9951321554706817
C435,donald cole,nevada,63,0,0.15323585964910158
C436,benjamin martinez,nevada,74,1,0.3841802857131288
C437,connor ashley,mississippi,44,1,0.3959636087259706
C438,kristen gonzales,nevada,48,1,0.14768895367484725
C439,jerry dodson,pennsylvania,48,0,0.7187871307989526
C440,scott lopez,montana,73,0,0.8261542646484419
C441,kiara hudson,washington,61,1,0.7991669296560108
C442,christine bowman,kansas,36,0,0.9657026627753443
C443,jeremy compton,illinois,29,1,0.546605118890371
C444,kristina cohen,new mexico,19,1,0.1838258773305862
C445,rebecca brown,north dakota,55,0,0.7207365793085507
C446,rachel stone,arizona,59,1,0.9074756266100935
C447,louis johnson,oregon,69,0,0.06820646733193247
C448,kristina medina,south carolina,62,1,0.6675309867594255
C449,sabrina bentley,vermont,47,1,0.5309704633033392
C450,dwayne pierce,new hampshire,25,0,0.28835291974213817
C451,steven burke,rhode island,25,1,0.23191415305336194
C452,jocelyn guerra,vermont,88,0,0.28146970804652427
C453,michael livingston,delaware,26,0,0.6134005594604961
C454,joyce obrien,hawaii,32,0,0.19078794854508552
C455,hannah meyer,nevada,49,1,0.3965851389577214
C456,tara simon,mississippi,54,0,0.2637050348311464
C457,thomas bell,oklahoma,48,0,0.6466588249958406
C458,debra martin,colorado,34,0,0.002446778795776594
C459,collin hartman,maryland,89,1,0.9510347111290088
C460,dr. john thompson,oklahoma,18,1,0.38439571406627604
C461,john ryan,minnesota,87,1,0.08933343010408001
C462,kim rosales,kansas,51,0,0.9169341739003285
C463,brian peters,oklahoma,71,1,0.9748114897378246
C464,ian sullivan,texas,89,0,0.21830343799968766
C465,darren perry,maine,65,0,0.42526805508737064
C466,samantha phillips,oregon,65,1,0.8190599505584717
C467,samantha wheeler,oregon,34,0,0.20650435873686046
C468,shawn fowler,arkansas,71,1,0.6694570340916229
C469,paul phillips,wisconsin,22,1,0.2987224996569925
C470,jamie estes,illinois,55,1,0.49650323146165565
C471,thomas mcdonald,missouri,62,0,0.8340552812959134
C472,jill rivera,idaho,58,0,0.1660553330225798
C473,brian smith,west virginia,18,1,0.7027994742701614
C474,paul carpenter,pennsylvania,62,0,0.25435231179380413
C475,angela mcknight,south dakota,82,1,0.0313157873555544
C476,nancy hill,minnesota,18,1,0.9246376969043909
C477,joseph parker,alaska,55,1,0.549141797953614
C478,ashley waters,texas,28,0,0.029029183356795274
C479,lynn turner,oklahoma,66,0,0.6545020927304953
C480,brian miranda,utah,41,0,0.3097470113605949
C481,matthew case,connecticut,59,1,0.13900938375229022
C482,catherine brown,virginia,74,0,0.800989956845135
C483,margaret saunders,ohio,31,1,0.2906746671350301
C484,angel schwartz,nebraska,86,0,0.9633346722582271
C485,amber thomas,arizona,43,0,0.13426939908381375
C486,kristin bowers,california,69,1,0.5723645022831413
C487,dennis white,missouri,27,1,0.20513340547733938
C488,jimmy hickman,north carolina,42,1,0.2554744589950254
C489,krystal campbell,connecticut,44,1,0.019504251325404343
C490,dan perez,vermont,63,1,0.6465799096791538
C491,jerome howe,virginia,72,0,0.42954269593060135
C492,brandy gaines,oklahoma,79,0,0.8308471287775789
C493,jonathan carrillo,oregon,54,0,0.3511416014912676
C494,john baker,tennessee,88,0,0.056097950848936984
C495,jeffrey smith,nevada,87,0,0.790398248470846
C496,matthew silva,tennessee,38,0,0.10315982682244196
C497,matthew wyatt,oregon,67,1,0.30212434166567237
C498,justin jones,arkansas,21,1,0.18256209509532018
C499,ann allen,virginia,51,1,0.2728438221776779
C500,stephanie porter,arkansas,21,0,0.7991974274607899
C501,mark johnson,new jersey,38,0,0.7171474793270313
C502,sara cole,alabama,42,0,0.8193185187961223
C503,melissa yang,louisiana,64,0,0.4989028404786643
C504,joseph williams,mississippi,41,0,0.5232037312538158
C505,william fry,michigan,30,1,0.24630623296553988
C506,derrick nelson,iowa,35,0,0.7289816465514612
C507,jennifer campos,massachusetts,30,1,0.10675282546550025
C508,jennifer obrien,nevada,52,1,0.7088646093095059
C509,michelle green,rhode island,33,0,0.4502239056237377
C510,kimberly miller,tennessee,27,1,0.344947643994022
C511,morgan peters,alabama,64,1,0.06075434565994875
C512,melanie vaughn,texas,25,1,0.2428478086932917
C513,christopher robertson,missouri,50,1,0.40716324594156716
C514,joel gutierrez,maine,64,1,0.33447782249989644
C515,veronica blair,arizona,34,0,0.16980809486704151
C516,nicole stevens,new hampshire,50,0,0.07863972005139075
C517,jesse willis,kansas,70,1,0.10078229367723623
C518,valerie bates,washington,29,0,0.12654452238601732
C519,darrell browning,minnesota,51,0,0.7756557683958826
C520,lisa donaldson,massachusetts,84,0,0.9430265010923871
C521,andrea frost,ohio,88,1,0.28923477970708844
